disease,symptom,weight,strong
慢性肾病引起的贫血,疲劳,67.0,1.0
慢性肾病引起的贫血,虚弱,38.0,0.0
慢性肾病引起的贫血,气促,24.0,0.0
慢性肾病引起的贫血,外周水肿,14.0,0.0
慢性肾病引起的贫血,脚踝肿胀,10.0,0.0
慢性肾病引起的贫血,短期体重下降,5.0,1.0
慢性肾病引起的贫血,多尿症,5.0,1.0
慢性肾病引起的贫血,感觉冷,5.0,1.0
慢性肾病引起的贫血,肾脏症状,5.0,0.0
慢性肾病引起的贫血,黑粪症,5.0,0.0
脊髓小脑共济失调,运动问题,72.0,1.0
脊髓小脑共济失调,头晕,53.0,0.0
脊髓小脑共济失调,异常非自主运动,42.0,1.0
脊髓小脑共济失调,皮疹,27.0,0.0
脊髓小脑共济失调,晕倒,27.0,0.0
脊髓小脑共济失调,口齿不清,27.0,1.0
脊髓小脑共济失调,头痛,27.0,0.0
脊髓小脑共济失调,血尿,27.0,0.0
脊髓小脑共济失调,脚痛或脚趾痛,27.0,0.0
脊髓小脑共济失调,咳嗽,27.0,0.0
脊髓小脑共济失调,焦虑和紧张,27.0,0.0
脊髓小脑共济失调,记忆障碍,27.0,1.0
咽脓肿,咽喉痛,83.0,0.0
咽脓肿,发热,69.0,0.0
咽脓肿,鼻塞,58.0,0.0
咽脓肿,咳嗽,51.0,0.0
咽脓肿,吞咽困难,48.0,1.0
咽脓肿,耳朵痛,34.0,0.0
咽脓肿,头痛,34.0,0.0
咽脓肿,剧烈胸痛,27.0,0.0
咽脓肿,咳痰,27.0,1.0
咽脓肿,过敏反应,27.0,0.0
咽脓肿,感觉不舒服,20.0,0.0
咽脓肿,咽喉肿胀,20.0,1.0
口疮（酵母感染）,发热,50.0,0.0
口疮（酵母感染）,鼻塞,44.0,0.0
口疮（酵母感染）,咳嗽,43.0,0.0
口疮（酵母感染）,皮疹,39.0,0.0
口疮（酵母感染）,咽喉痛,33.0,0.0
口疮（酵母感染）,舌头不正常,32.0,1.0
口疮（酵母感染）,易怒婴儿,32.0,1.0
口疮（酵母感染）,口腔溃疡,29.0,1.0
口疮（酵母感染）,尿布疹,28.0,1.0
口疮（酵母感染）,便秘,28.0,0.0
口疮（酵母感染）,舌头病变,20.0,1.0
口疮（酵母感染）,口腔疼痛,19.0,1.0
青少年类风湿关节炎,膝盖痛,52.0,0.0
青少年类风湿关节炎,关节痛,37.0,1.0
青少年类风湿关节炎,背痛,26.0,0.0
青少年类风湿关节炎,脚踝痛,19.0,0.0
青少年类风湿关节炎,手或手指疼痛,19.0,0.0
青少年类风湿关节炎,手或手指肿胀,19.0,0.0
青少年类风湿关节炎,运动问题,10.0,0.0
青少年类风湿关节炎,骨头很痛,10.0,0.0
青少年类风湿关节炎,手腕肿胀,10.0,1.0
青少年类风湿关节炎,脚踝肿胀,10.0,0.0
青少年类风湿关节炎,骨盆疼痛,10.0,0.0
青少年类风湿关节炎,膝盖肿胀,10.0,0.0
