id,symptom
<1>,注意减退
<2>,智力障碍
<3>,吟诗性语言
<4>,意向性震颤
<5>,易激惹
<6>,抑郁
<7>,蚁走感
<8>,眼球震颤
<9>,眼肌麻痹
<10>,言语重复
<11>,性功能障碍
<12>,兴奋
<13>,欣快
<14>,痛性痉挛
<15>,痛
<16>,瘫痪
<17>,四肢无力
<18>,四肢麻木
<19>,四肢发冷
<20>,嗜睡
<21>,视神经萎缩
<22>,视神经乳头水肿
<23>,视力下降
<24>,深感觉异常
<25>,瘙痒
<26>,强制性哭笑
<27>,强直性痉挛
<28>,浅感觉异常
<29>,偏瘫
<30>,排便障碍
<31>,尿潴留
<32>,尿失禁
<33>,尿频
<34>,尿急
<35>,内感性不适
<36>,麻木
<37>,腱反射增强
<38>,记忆减退
<39>,构音障碍
<40>,共济失调
<41>,感觉异常
<42>,腹壁反射消失
<43>,复视
<44>,反应迟钝
<45>,癫痫发作
<46>,淡漠
<47>,猜疑
<48>,病理反射阳性
<49>,被害妄想
<50>,暴躁
<51>,Lhermitte征阳性
<52>,Charcot三主征
<53>,痔静脉曲张
<54>,蜘蛛痣
<55>,运动受限
<56>,月经紊乱
<57>,瘀点
<58>,瘀斑
<59>,营养不良
<60>,意志减退
<61>,牙龈出血
<62>,性欲减退
<63>,心悸
<64>,消瘦
<65>,消化道出血
<66>,消化不良
<67>,下肢水肿
<68>,吸收不良
<69>,无力
<70>,蛙腹
<71>,脱发
<72>,水肿
<73>,衰弱
<74>,食欲减退
<75>,色素沉着
<76>,脐疝
<77>,贫血
<78>,脾肿大
<79>,皮肤干燥
<80>,尿色异常
<81>,男性乳腺发育
<82>,活动受限
<83>,黄染
<84>,黄疸
<85>,呼吸困难
<86>,巩膜黄染
<87>,睾丸萎缩
<88>,肝掌
<89>,肝病面容
<90>,腹胀
<91>,腹泻
<92>,腹腔积液
<93>,腹部膨隆
<94>,腹部不适
<95>,腹壁静脉曲张
<96>,发热
<97>,恶心
<98>,出血
<99>,不孕
<100>,闭经
<101>,鼻衄
<102>,谵妄
<103>,意识障碍
<104>,血管扩张
<105>,胸痛
<106>,心律失常
<107>,心力衰竭
<108>,心尖搏动增强
<109>,心动过速
<110>,头痛
<111>,舒张期杂音
<112>,收缩期杂音
<113>,视盘水肿
<114>,失眠
<115>,气促
<116>,皮肤充血
<117>,咳痰
<118>,咳嗽
<119>,颈静脉怒张
<120>,结膜水肿
<121>,结膜充血
<122>,腱反射消失
<123>,腱反射减弱
<124>,活动性呼吸困难
<125>,活动耐量下降
<126>,呼吸衰竭
<127>,咯血
<128>,肝浊音界下移
<129>,肝肿大
<130>,肝区压痛
<131>,肝颈静脉回流征
<132>,肺湿啰音
<133>,发绀
<134>,第二心音增强
<135>,出汗
<136>,潮红
<137>,表情淡漠
<138>,腰痛
<139>,眼痛
<140>,血尿
<141>,无尿
<142>,畏寒
<143>,四肢湿冷
<144>,少尿
<145>,呕吐
<146>,面色苍白
<147>,肌肉疼痛
<148>,昏睡
<149>,昏迷
<150>,呼吸急促
<151>,寒战
<152>,关节疼痛
<153>,腹痛
<154>,腹肌紧张
<155>,腹部压痛
<156>,反跳痛
<157>,烦躁
<158>,低血压
<159>,抽搐
