questions,question_type,id
曲金刚胺凝胶需要注意什么呢,1,0
盐酸普鲁卡因注射液用法与用量是多少？,4,1
葵花奥沙普秦片是不是激素？,14,2
求牡蛎碳酸钙片说明书?,2,3
求尿嘧啶替加氟片说明书?,2,4
盐酸环丙沙星乳膏与盐酸洛美沙星乳膏？？？,3,5
血塞通分散片与曲克芦丁片的作用是一样的吗？,3,6
烫伤可以用汞溴红溶液清洗伤口吗？,6,7
服用酒石酸美托洛尔片要注意什么？,1,8
石杉碱甲片可以经常吃吗长期服用有什么坏处,16,9
盐酸氨溴索泡腾片和安儿宁哪个好？,3,10
盐酸多塞平片是激素吗？,14,11
阿莫西林分散片的注意事项？,1,12
请问醋酸去氨加压素片的禁忌症是什么？,5,13
硝苯地平片副作用大？,0,14
盐酸多西环素片的用药有什么禁忌？,5,15
劳拉西泮片的成分“二氢”有毒吗？,8,16
头孢羟氨苄片使用时要注意什么？,1,17
布洛芬缓释胶囊和甲氧氯普胺片和法莫替丁片一起吃有什么后？,10,18
富马酸酮替芬片有激素？,14,19
硝氯齡伊维菌素片注意事项有哪些？,1,20
盐酸地芬尼多片可以长期服用吗？,16,21
复方妥布霉素滴眼液孕妇能用？,11,22
甲巯咪唑片有何副作用?,0,23
美力泰乙酰麦迪霉素干混悬剂是抗生素吗？,14,24
左炔诺孕酮片副作用大么？,0,25
洛索洛芬钠胶囊和乐松片一样吗,3,26
5岁儿童能用双氯芬酸钾栓吗？,12,27
盐酸西替利嗪片与盐酸西替利嗪滴剂有什么区别？,3,28
复方利血平氨苯蝶啶片长期服用会得痴呆症吗？,16,29
头孢克肟胶囊的用法是什么？,4,30
高血压口服尼群地平软胶囊控制后头痛、脸红，是药物引起的吗,0,31
孕妇能吃琥珀酸亚铁片吗？,11,32
胃肠道湿热需吃哪些药来治疗呢？,15,33
使用丙酸倍氯米松鼻喷雾剂有哪些不良反应？,0,34
标题，如：乙肝小三阳吃什么药,15,35
副作用更小？瑞舒伐他汀和洛伐他汀片比较？,0,36
求利福平注射液药品说明书,2,37
布洛芬混悬液副作用大吗布洛芬混悬液副作用大？,0,38
过氧乙酸溶液该怎么用？,4,39
阿洛刻盐酸奥洛他定片有副作用吗,0,40
正确吗？羧甲淀粉钠溶液宝宝七个月医生开的羧甲淀粉钠溶液？,12,41
硫酸沙丁胺醇气雾剂含激素吗,14,42
膦甲酸钠乳膏主要成分是什么？,8,43
儿童服用果糖二磷酸钠片的量是多少呢？,12,44
阿司匹林肠溶片的副作用？,0,45
羧甲淀粉钠溶液长期服用有害？,16,46
盐酸普罗帕酮片服用期间应注意什么？,1,47
服用奥硝唑胶囊有禁忌吗？,5,48
伊维菌素片该怎么用？,4,49
请问托拉塞米注射液可以用于肌肉注射？,4,50
复方独活吲哚美辛胶囊里有激素吗,14,51
头孢克肟胶囊治咳嗽？,6,52
氧氟沙星滴耳液儿童能用吗？,12,53
利培酮口腔崩解片副作用有哪些？,0,54
孕妇可以吃右旋糖酐铁片和维生素c片？,11,55
吃奥卡西平片注意什么,1,56
低血压可以长期服用盐酸特拉唑嗪片吗？,16,57
醋酸泼尼松片跟泼尼松片一样？,3,58
卡贝缩宫素注射液副作用有哪些？,0,59
醋酸泼尼松龙片有哪些注意事项?,1,60
阿莫西林胶囊怎么用啊？,4,61
复方胃蛋白酶颗粒孕妇可以吃吗？,11,62
右旋糖酐铁片孕妇用量是怎样呢？,11,63
3周岁宝宝过敏吃地氯雷他定干混悬剂影响验过敏原？,16,64
马洛替酯片是不是有什么药理毒理啊？,7,65
青蒿琥酯片的药理是什么？,7,66
女性，51岁，全身燥热、畏寒怕风、喜热怕冷、身倦无力、气短懒言、自汗不已、心慌气短，是不是气虚火旺的症状？该吃什么药？,15,67
甲磺酸溴隐亭片是怎么用的？,4,68
肌萎缩侧索硬化吃什么药？,15,69
长期服用己烯雌酚片会怎么样？,16,70
宝宝吃牡蛎碳酸钙颗粒三个月的宝宝可以吃？,12,71
硫酸镁葡萄糖注射液的不良反应有哪些？,0,72
孕妇能否用酚磺乙胺注射液吗？,11,73
孕妇吃盐酸多塞平片对孩子好吗？,11,74
胆维丁乳孕妇吃安全？,11,75
次水杨酸铋分散片的不良反应有哪些？,0,76
感冒头痛咳嗽吃什么药？,15,77
服用己烯雌酚片有不良反应吗？,0,78
面部毛细血管扩张可以吃抗过敏药吗？,15,79
有痰排不出去咳嗽应该吃什么药？,15,80
请问咳嗽可以服用红霉素肠溶胶囊么？,6,81
奥博林奥硝唑胶囊是抗生素吗？,14,82
依折麦布片的不良反应？,0,83
华法林钠片该怎么用？,4,84
依地酸钙钠注射液会引起什么副作用？,0,85
盐酸环丙沙星乳膏可以治疗前期肛裂吗？,6,86
戊酸雌二醇片有副作用吗？,0,87
请问托拉塞米片的注意事项是什么？,1,88
复方嗜酸乳杆菌片宝宝吃多了会有副作用？,0,89
求糠酸莫米松凝胶说明书?,2,90
儿童热感冒吃什么药好？,15,91
注射用腺苷钴胺副作用,0,92
拉西地平片有什么副作用？,0,93
求醋酸氢化可的松软膏药品说明书,2,94
马来酸氟吡汀胶囊有何副作用?,0,95
巴氯芬片可以与左旋多巴加卡比多巴合用吗？,10,96
使用磺胺嘧啶片如何测定是否过量？,9,97
鲁欣氟康唑氯化钠注射液孕妇可以使用吗,11,98
孕妇有地中海贫血可以服用葡萄糖酸亚铁糖浆嘛？,11,99
利巴韦林泡腾颗粒对孕妇有什么影响？,11,100
醋酸氟轻松乳膏含有激素吗醋酸氟轻松乳膏含有激素？,14,101
吡罗昔康胶囊的主要成分有哪些？,8,102
盐酸四环素片的不良反应有哪些呢？,0,103
伤口可以用汞溴红溶液或者过氧化氢溶液消毒吗？,6,104
盐酸多西环素片注意事项有哪些？,1,105
地氯雷他定干混悬剂可以治疗过敏性咳嗽？,6,106
醋酸氟轻松乳膏孕妇可以用吗？,11,107
复方酮康挫发用洗剂能和二硫化硒洗剂一起用么？,10,108
利福喷丁胶囊.有哪些注意事项?,1,109
胆维丁乳宝宝不喝行吗？,12,110
宝宝咳嗽吃小儿感冒药和头孢呋辛酯干混悬剂管用吗？,6,111
金水宝胶囊茴三硫片肾炎康复片可以一起用？,10,112
利福平注射液有哪些副作用？,0,113
服用罗红霉素分散片有哪些不良反应？,0,114
醋酸氯己定溶液有使用禁忌吗？,5,115
枸地氯雷他定片含激素吗？,14,116
盐酸川芎嗪葡萄糖注射液禁忌？,5,117
请问静脉注射葡萄糖跟口服葡萄糖有什么不一样的地方？,3,118
盐酸巴氨西林片使用要注意什么？,1,119
求醋酸甲萘氢醌片说明书?,2,120
双氯芬酸钾片和痢特灵能一起吃？,10,121
卡马西平片+丙戊酰胺片+复方苯硝那敏片+3种要一起的副作用？,0,122
左乙拉西坦片说明书的要点有哪些？,2,123
盐酸三氟拉嗪片的禁忌症有哪些？,5,124
孕妇可以用哈西奈德溶液吗？,11,125
甘露醇注射液的药代动力学是怎样的？,13,126
维d2乳酸钙片一天当中吃了两个有副作用吗,0,127
氢溴酸右美沙芬口服液过量有危险吗？,9,128
下蹲时和站起来时膝关节胀痛可能是什么疾病？该如何治疗？吃什么药？,15,129
乳酸亚铁胶囊的用法用量？,4,130
还原型谷胱甘肽滴眼液有何副作用?,0,131
请问依巴斯汀片有什么作用,6,132
头孢丙烯分散片的注意事项是？,1,133
服用卵磷脂络合碘片有哪些不良反应呢？,0,134
如何治疗长期服用醋酸地塞米松片造成的浮肿？,16,135
盐酸可乐定滴眼液该怎么用？,4,136
使用苯扎溴铵溶液有哪些注意事项？,1,137
克霉唑阴道泡腾片可以和调经药一起用？,10,138
扶他林与苯溴马隆胶囊哪个好？,3,139
心动过缓怎么用药？,15,140
求硫酸核糖霉素注射液药品说明书,2,141
服用普伐他汀钠片有哪些注意事项？,1,142
"葡萄糖酸亚铁糖浆没有说明是孕妇喝的,那可以喝吗",11,143
胸闷心跳吃什么药？,15,144
醋酸去氨加压素注射液治病的副作用,0,145
为？氯硝西泮片能长期服用么？,16,146
卤米松乳膏能和庆大霉素合用吗卤米松乳膏能和庆大霉素合用吗＜br？,10,147
注射用普罗碘铵多少为一个疗程？,4,148
临床上应用高三尖杉酯碱注射液过程中有哪些配伍禁忌？,5,149
小儿不慎吃了氯硝西泮片的副作用？,0,150
求酞丁安搽剂药品说明书,2,151
盐酸西替利嗪滴剂这个药是起什么作用的,6,152
马洛替酯片治疗乙肝的药理是什么？,7,153
沙丁胺醇气雾剂有什么副作用？,0,154
氢溴酸加兰他敏片的药理作用是什么？,7,155
注射用苄星青霉素用法与用量是多少？,4,156
盐酸左布诺洛尔滴眼液有什么禁忌？,5,157
硫酸氨基葡萄糖胶囊与盐酸氨基葡萄糖胶囊效果一样吗？,3,158
四个月宝宝发烧吃布洛芬混悬滴剂应该吃多？,12,159
头孢丙烯咀嚼片该如何去用法用量？,4,160
身上长期起小豆豆吃了盐酸赛庚啶片就好？,16,161
病毒性的咳嗽吃什么药？,15,162
醋酸泼尼松龙注射液有何副作用,0,163
稳定化浓戊二醛溶液的用法与用量是怎样的？,4,164
塞曲司特片的用法用量是什么？,4,165
盐酸氨基葡萄糖胶囊有哪些注意事项?,1,166
胃肠道型感冒吃什么药？,15,167
硝苯地平片有什么副作用？,0,168
更昔洛韦注射液的成分是什么？,8,169
三九乳酸亚铁口服液对孕妇有妨碍吗？,11,170
什么药品可以替代托拉塞米片伊迈格药性一样,3,171
盐酸环丙沙星片和诺氟沙星胶囊可以合用吗,10,172
用了水杨酸苯酚贴膏有什么副作用吗？,0,173
托拉塞米片有哪些注意事项?,1,174
克拉霉素分散片和v钾一样？,3,175
复方碳酸钙泡腾颗粒复方碳酸钙泡腾颗粒和孕妇奶粉要隔多久才？,11,176
10个月宝宝打转移因子注射液有没有副作用？,0,177
蒙脱石混悬液是抗生素药？,14,178
求注射用甲磺酸加贝酯药品说明书,2,179
高血压吃拉西地平片可以吗？,6,180
吃灰黄霉素片要注意什么食物,1,181
奥拉西坦胶囊的不良反应是什么？,0,182
求赖氨匹林肠溶胶囊药品说明书,2,183
12岁儿童带状疱疹能用泛昔洛韦分散片吗,12,184
注射用醋酸亮丙瑞林微球该怎么用？,4,185
怎么缓解维胺酯胶囊副作用怎么缓解维胺酯胶囊副作？,0,186
盐酸二甲双胍肠溶片薄膜衣有何副作用?,0,187
聚维酮碘溶液怎么用？,4,188
地氯雷他定干混悬剂宝宝一天喝了多半带有事？,0,189
他克莫司胶囊的药理作用是什么？,7,190
一直吃甲芬那酸胶囊会有什么副作用或者不好的么？,0,191
宝宝吃头孢克洛干混悬剂过量了怎么办？,9,192
奥沙拉秦钠胶囊的药代动力学是什么？,13,193
胃肠道出血吃什么药？,15,194
二硫化硒洗剂副作用大不大？,0,195
酒石酸美托洛尔片的成分,8,196
多潘立酮口腔崩解片的用法用量有哪些？,4,197
老年人长期吃葡萄糖酸钙片可以吗？,16,198
复方硫酸沙丁胺醇气雾剂用多了会怎么样或副作用是什么,0,199
求复方克罗米通乳膏药品说明书,2,200
伏格列波糖胶囊有何副作用?,0,201
乙酰半胱氨酸颗粒一岁半宝宝一次喝多少，一天几次呢?,12,202
醋酸氯己定溶液用法？,4,203
靛胭脂注射液该怎么用？,4,204
阿苯达唑片的用法是怎么样的,4,205
长春西汀片的主要成分是什么？,8,206
吃了三个月的复方醋酸环丙孕酮片停药后一个？,16,207
脑囊虫吃什么药？,15,208
使用氯霉素耳栓的注意事项有哪些？,1,209
服用环孢素胶囊有什么不良反应？,0,210
盐酸克林霉素棕榈酸酯干混悬剂和盐酸克林霉素棕榈酸酯分散片一样？,3,211
替硝唑胶囊的不良反应有哪些？,0,212
芦丁片服多少为过量？,9,213
复方环磷酰胺片会出现副作用？,0,214
洛莫司汀胶囊的副作用,0,215
患者口服洛莫司汀胶囊应注意哪些事项？,1,216
求丙硫异烟胺肠溶片说明书?,2,217
对乙酰氨基酚片有什么禁忌证？,5,218
孕妇可以吃乳酶生片？,11,219
硫酸新霉素滴眼液儿童三岁爱眨眼能用？,12,220
求阿奇霉素肠溶胶囊说明书?,2,221
妊娠期糖尿病贫血可以喝乳酸亚铁口服液嘛？,6,222
氟芬那酸丁酯软膏和一干二净哪个好用？,3,223
钙尔奇和拉克菲乳酸亚铁口服液孕妇可以一起服用吗,11,224
求巴氯芬片药品说明书,2,225
盐酸左氧氟沙星眼用凝胶和盐酸洛美沙星眼用凝胶一样么都是同样？,3,226
乙肝小三阳上火应该吃什么药,15,227
甲磺酸培氟沙星乳膏可以和维胺酯维E乳膏一起用吗？,10,228
布洛芬混悬液长期服用有什么副作用？,0,229
稳定化浓戊二醛溶液的药理是怎样的？,7,230
孕妇宫腔有积血第二次检查血比第一次减少了，需要吃氨甲苯酸片吗,11,231
氯硝西泮片与左匹克隆片哪一个副作用少一些？,0,232
吲哚美辛胶囊有哪些副作用？,0,233
求奥扎格雷钠氯化钠注射液药品说明书,2,234
请问用布特和哈西奈德乳膏怎样治疗腘窝的湿？,6,235
孕妇贫血可以喝乳酸亚铁口服液？,11,236
雷宁氯雷他定分散片是不是激素？,14,237
孩子麻疹减毒活疫苗要注意什么呢？,1,238
不用忌口的牛皮癣药？,15,239
治鼻炎孟鲁司特钠咀嚼片和地氯雷他定干混悬剂哪个更好？,3,240
枸地氯雷他定片的用法是怎样的？,4,241
十二指肠淤滞吃什么药？,15,242
吲哚美辛胶囊的用法用量?,4,243
儿童发烧药有哪些？,15,244
糠酸莫米松凝胶是不是激素药？,14,245
比如那些？非洛地平片长期服用一天一颗会不会引起其他症状？,16,246
麦考酚钠肠溶片与硫唑嘌呤可以合用吗？,10,247
头孢克肟片和头孢克肟分散片哪个好？,3,248
三蕊维胺酯胶囊副作用大？,0,249
内舒拿糠酸莫米松鼻喷雾剂有何副作用?,0,250
硫酸小诺霉素注射液与多粘菌素类合用会怎么样？,10,251
红霉素肠溶片的主要成分是？,8,252
孕妇可以用醋酸氟轻松乳膏吗？,11,253
女人尿急尿频尿痛吃什么药？,15,254
马来酸依那普利片说明书怎样排？,2,255
头孢地尼分散片和头孢地尼胶囊治疗情况一样吗,3,256
注射用青霉素钾注意事项有哪些？,1,257
孕妇吃乳酸亚铁片和复方硫酸亚铁叶酸片哪个好孕妇吃乳酸亚铁？,3,258
盐酸赛庚啶乳膏是激素类药吗？,14,259
贫血病需要吃什么药？该注意一些什么？,15,260
宝宝有点流鼻涕和咳嗽吃地氯雷他定干混悬剂合适吗？,6,261
您好乙性结肠炎吃什么药？,15,262
盐酸硫利达嗪片应该注意什么,1,263
吲哚美辛肠溶片的用法用量是怎样的？,4,264
盐酸左氧氟沙星胶囊一次可以吃几？,4,265
头孢丙烯干混悬剂的不良反应有哪些？,0,266
宝宝湿疹用哈西奈德乳膏对他有没有影响？,6,267
这个奥硝唑阴道栓能和除湿止痒洗液一起用吗？,10,268
依巴斯汀片有激素吗？,14,269
氟芬那酸丁酯软膏含不含激素？,14,270
孕妇甲亢吃丙硫氧嘧啶片对宝宝有影响吗？,11,271
肛周湿疹可以用盐酸环丙沙星乳膏和复方醋酸地塞米松乳膏涂患处可以吗？,6,272
求盐酸二甲双胍肠溶片薄膜衣说明书?,2,273
酒石酸美托洛尔缓释片100mg酒石酸美托洛尔片25mg用量一样吗,3,274
请问乙酰半胱氨酸泡腾片能否长期服用？,16,275
尼麦角林胶囊是抗生素吗,14,276
过氧化氢溶液和甲紫溶液一起用吗？,10,277
拉坦前列素滴眼液和马来酸噻吗洛尔滴眼液是不是联合一起用吗,10,278
二硫化硒洗剂有什么副作用吗？,0,279
停药氨磺必利片十多天了副作用为什么一直都在？,0,280
注射用细辛脑副和注射用溴已新哪个好,3,281
胆维丁乳牛奶过敏宝宝可以吃吗,12,282
使用替加氟栓会出现哪些不良反应？,0,283
圣济堂的格列美脲片有什么副作用,0,284
注射用头孢匹胺钠有什么副作用？,0,285
左甲状腺素钠片副作用,0,286
4宝宝枕秃可以吃胆维丁乳吗？,12,287
服用二氟尼柳片有哪些用药禁忌？,5,288
怀孕期间大量使用了哈西奈德软膏对宝宝影响大吗？,11,289
晚上三岁小孩子咳嗽可不可以喝头孢丙烯颗粒？,6,290
吃奥硝唑胶囊有不良反应怎么办？,0,291
孕妇保胎保胎的药盐酸利托君片能多吃吗？,11,292
萘哌地尔片的注意事项有什么呢？,1,293
孕妇8个月可以用炉甘石粉吗孕妇8个月可以用炉甘石粉？,11,294
服用左甲状腺素钠片会有副作用吗,0,295
50多天宝宝能吃“牡蛎碳酸钙颗粒“吗？,12,296
托拉塞米片(伊迈格)有哪些注意事项?,1,297
注射用甲磺酸加贝酯不良反应？,0,298
羔羊胃提取物维B12颗粒的用法用量?,4,299
孕妇可以吃隆力奇牌维生素C含片？,11,300
使用盐酸特比萘芬凝胶不良反应怎么？,0,301
怀孕五个月零一周，咳嗽，医生给开的氟氯西林钠胶囊可以吃吗？,6,302
一岁半小孩咳嗽可以吃头孢丙烯颗粒是消炎的？,6,303
米非司酮片可以和托西酸舒他西林片一起吃？,10,304
尼膜同尼莫地平片有何副作用?,0,305
盐酸肾上腺素注射液关于老人注意事项是什么？,1,306
维拉帕米注射液有什么不良反应？,0,307
头孢拉定胶囊能治咳嗽吗？,6,308
我是孕妇我眼睛痛可以用复方硫酸新霉素滴眼液吗？,11,309
心慌气短乏力吃什么药？,15,310
有癫痫病史的患者服用阿立哌唑片后有什么不良反应有癫痫病史的患者服用阿立哌唑片后有什么不良反应？,0,311
孕妇能吃左乙拉西坦片吗？,11,312
醋酸氟轻松乳膏是否有副作用,0,313
复方硫酸新霉素滴眼液的用法是怎样的？,4,314
甲巯咪唑片是激素吗？,14,315
氯波必利片的禁忌症有哪些？,5,316
求塞克硝唑胶囊说明书?,2,317
曲伏前列素滴眼液有何副作用?,0,318
使用亮博头孢泊肟酯胶囊有哪些注意事项呢？,1,319
尼莫地平片是治疗什么疾病的药？,6,320
尼美舒利胶囊副作用是什么？,0,321
甲磺酸多沙唑嗪片是怎么用的？,4,322
感染性发热吃什么药？,15,323
马来酸依那普利片和吲达帕胺片能同时服吗？,10,324
上呼吸道感染咳嗽吃什么药？,15,325
吲达帕胺片有什么副作用,0,326
阿立哌唑口腔崩解片跟利培酮口腔崩解片效果一样吗？,3,327
华法林钠片用药有什么禁忌？,5,328
乳酶生片有副作用吗？,0,329
孕妇吃了3天明竹欣盐酸伐昔洛韦颗粒什么时候可以喂奶,11,330
求丙磺舒片药品说明书,2,331
我吃完依巴斯汀片怎么全身疼？,0,332
求西洛他唑片药品说明书,2,333
感冒引起的咳嗽有痰吃什么药？,15,334
甲氧氯普胺片还能治糖尿病吗？,6,335
诺适得（雷珠单抗注射液）的成分有哪些呢？,8,336
关于羧甲司坦含片的用法用量？,4,337
盐酸多塞平片可以长期吃？,16,338
使用碳酸氢钠片及碳酸氢钠注射液时有哪些注意事项？,1,339
大夫您好请问盐酸左氧氟沙星氯化钠注射液和乳酸左氧氟沙星注射液一样吗？,3,340
红霉素软膏可以和鬼臼毒素酊一起用？,10,341
维A酸片的主要成分有哪些？,8,342
盖笛欣复方碳酸钙泡腾颗粒能长期吃？,16,343
甲砜霉素胶囊用药禁忌是什么？,5,344
盐酸左氧氟沙星胶囊用量？,4,345
醋酸地塞米松片与醋酸泼尼松片都可以治疗肾病综合症么哪个副作用小,0,346
注射用鲑降钙素的药理作用是什么,7,347
卡维地洛胶囊有什么禁忌？,5,348
硫酸阿米卡星注射液和阿奇霉素合用会引起阴道出血吗,10,349
39天得宝宝怎么用开塞露？,12,350
巴氯芬片的副作用有哪些？,0,351
铝碳酸镁混悬液可以长期服用吗？,16,352
求氯霉素胶囊药品说明书,2,353
茴三硫片和茴三硫胶囊哪个好？,3,354
乙酰半胱氨酸颗粒和小儿咳喘灵哪个好？,3,355
米格列奈钙片的药理毒理是什么？,7,356
求瑞巴派特片药品说明书,2,357
盐酸氟桂利嗪胶囊对孕妇有影响吗,11,358
二氟尼柳分散片的注意事项有哪些？,1,359
你好，请问念珠菌感染要吃什么药比较好？,15,360
宝宝吃了阿奇霉素颗粒不退烧怎么？,12,361
注射用硫喷妥钠注意事项有哪些？,1,362
盐酸赛庚啶片里面含的有激素吗？,14,363
孕妇贫血可以吃乳酸亚铁胶囊吗？,11,364
7个月的孕妇能用苦参碱葡萄糖注射液？,11,365
舒洛地特软胶囊的药理作用？,7,366
注射用醋酸生长抑素注意事项？,1,367
乙酰唑胺片的禁忌症有哪些？,5,368
硫酸沙丁胺醇和丙酸氟替卡松吸入气雾剂功效一样吗?,3,369
亮视羧甲基纤维素钠滴眼液能和帕坦洛盐酸奥洛他定滴眼液一起用吗,10,370
求单唾液酸四己糖神经节苷脂钠注射液药品说明书,2,371
求甘露聚糖肽片说明书?,2,372
联苯双酯片有哪些禁忌？,5,373
维生素E片的注意事项有哪些？,1,374
复方醋酸环丙孕酮片可以调理内分泌？,6,375
