sourcedata,id,endPosition,startPosition,type,word
服用阿司咪唑片的注意事项有哪些?,967,6,2,商品名,阿司咪唑片
服用阿司咪唑片有不良反应吗?,968,6,2,商品名,阿司咪唑片
乙型脑炎灭活疫苗有哪些副作用?,969,7,0,商品名,乙型脑炎灭活疫苗
乙脑疫苗JEV跟乙型脑炎灭活疫苗一样?,970,6,0,商品名,乙脑疫苗JEV
乙脑疫苗JEV跟乙型脑炎灭活疫苗一样?,970,15,8,商品名,乙型脑炎灭活疫苗
猪乙型脑炎灭活疫苗有哪些注意事项?,971,8,0,商品名,猪乙型脑炎灭活疫苗
注射乙型脑炎灭活疫苗时应注意什么?,972,9,0,商品名,注射乙型脑炎灭活疫苗
羟基脲胶囊的注意事项?,973,4,0,商品名,羟基脲胶囊
求木糖醇注射液药品说明书,974,6,1,商品名,木糖醇注射液
服用阿法骨化醇胶丸有不良反应吗?,975,8,2,商品名,阿法骨化醇胶丸
使用阿法骨化醇胶丸的注意事项是什么?,976,8,2,商品名,阿法骨化醇胶丸
开塞露的用法?,977,2,0,商品名,开塞露
用开塞露有副作用?,978,3,1,商品名,开塞露
开塞露有副作用?,979,2,0,商品名,开塞露
开塞露有什么副作用?,980,2,0,商品名,开塞露
那开塞露的用法是什么?,981,3,1,商品名,开塞露
开塞露副作用开塞露用多了又什么副作用没?,982,2,0,商品名,开塞露
开塞露副作用开塞露用多了又什么副作用没?,982,8,6,商品名,开塞露
幼儿开塞露的用法跟成人开塞露的用法有什么不一样的地方呢?,983,4,2,商品名,开塞露
幼儿开塞露的用法跟成人开塞露的用法有什么不一样的地方呢?,983,13,11,商品名,开塞露
幼儿开塞露的用法跟成人开塞露的用法有什么不一样的地方呢?,983,10,9,禁忌人群,成人
幼儿开塞露的用法跟成人开塞露的用法有什么不一样的地方呢?,983,1,0,禁忌人群,幼儿
用开塞露会有副作用吗?,984,3,1,商品名,开塞露
开塞露用多了有副作用吗?,985,2,0,商品名,开塞露
开塞露的用法是什么?,986,2,0,商品名,开塞露
洛索洛芬钠片和洛索洛芬钠胶囊一样吗?,987,5,0,商品名,洛索洛芬钠片
洛索洛芬钠片和洛索洛芬钠胶囊一样吗?,987,13,7,商品名,洛索洛芬钠胶囊
求洛索洛芬钠胶囊药品说明书,988,7,1,商品名,洛索洛芬钠胶囊
洛索洛芬钠胶囊和乐松片一样吗,989,6,0,商品名,洛索洛芬钠胶囊
洛索洛芬钠胶囊和乐松片一样吗,989,9,8,商品名,乐松
奥美拉唑肠溶片和奥美拉唑肠溶胶囊药效一样吗?,990,6,0,商品名,奥美拉唑肠溶片
奥美拉唑肠溶片和奥美拉唑肠溶胶囊药效一样吗?,990,15,8,商品名,奥美拉唑肠溶胶囊
安乃近片的用法用量是如何的?,991,3,0,商品名,安乃近片
安乃近片的不良反应有哪些?,992,3,0,商品名,安乃近片
安乃近片的配伍禁忌有哪些?,993,3,0,商品名,安乃近片
安乃近片有什么禁忌?,994,3,0,商品名,安乃近片
服用安乃近片有什么禁忌?,995,5,2,商品名,安乃近片
安乃近片的使用有什么禁忌?,996,3,0,商品名,安乃近片
安乃近片的不良反应是什么?,997,3,0,商品名,安乃近片
安乃近片的禁忌是什么呢?,998,3,0,商品名,安乃近片
吃安乃近片有什么禁忌?,999,4,1,商品名,安乃近片
安乃近片使用起来要注意什么?,1000,3,0,商品名,安乃近片
服用安乃近片有哪些注意事项?,1001,5,2,商品名,安乃近片
安乃近片的禁忌有哪些呢?,1002,3,0,商品名,安乃近片
安乃近片有什么副作用呢?,1003,3,0,商品名,安乃近片
安乃近片有什么禁忌呢?,1004,3,0,商品名,安乃近片
求安乃近片药品说明书?,1005,4,1,商品名,安乃近片
求安乃近片药品说明书,1006,4,1,商品名,安乃近片
复方安乃近片有什么不良反应?,1007,5,0,商品名,复方安乃近片
拉西地平片有什么副作用吗?,1008,4,0,商品名,拉西地平片
拉西地平片有什么副作用?,1009,4,0,商品名,拉西地平片
"拉西地平片有什么作用和副作用,",1010,4,0,商品名,拉西地平片
拉西地平片长期服用怎?,1011,4,0,商品名,拉西地平片
用什么措施拉西地平片不良反应?,1012,9,5,商品名,拉西地平片
拉西地平片会导致哪些副作用?,1013,4,0,商品名,拉西地平片
长期吃拉西地平片会引起别的病?,1014,7,3,商品名,拉西地平片
长期服用拉西地平片降压药有什么副作用?,1015,8,4,商品名,拉西地平片
拉西地平片老年人能长期服用吗?,1016,4,0,商品名,拉西地平片
拉西地平片老年人能长期服用吗?,1016,7,5,禁忌人群,老年人
拉西地平片这药的副作用是什么?,1017,4,0,商品名,拉西地平片
卡维地洛片与拉西地平片的副作用有哪些?,1018,4,0,商品名,卡维地洛片
卡维地洛片与拉西地平片的副作用有哪些?,1018,10,6,商品名,拉西地平片
拉西地平片的副作用停药后多少天可以消?,1019,4,0,商品名,拉西地平片
]玻璃酸钠注射液治疗膝关节有何副作用,1020,7,1,商品名,玻璃酸钠注射液
]玻璃酸钠注射液治疗膝关节有何副作用,1020,12,10,疾病,膝关节
注射玻璃酸钠注射液有没有副作用?,1021,8,0,商品名,注射玻璃酸钠注射液
注射玻璃酸钠注射液阿尔治有什么副作用吗?,1022,11,9,商品名,阿尔治
注射玻璃酸钠注射液阿尔治有什么副作用吗?,1022,8,0,商品名,注射玻璃酸钠注射液
玻璃酸钠注射液功效及用法?,1023,6,0,商品名,玻璃酸钠注射液
玻璃酸钠注射液治疗膝关节的药物和副作用咨询?,1024,6,0,商品名,玻璃酸钠注射液
玻璃酸钠注射液治疗膝关节的药物和副作用咨询?,1024,11,9,疾病,膝关节
盐酸特拉唑嗪片不良反应,1025,6,0,商品名,盐酸特拉唑嗪片
低血压可以长期服用盐酸特拉唑嗪片吗?,1026,2,0,疾病,低血压
低血压可以长期服用盐酸特拉唑嗪片吗?,1026,15,9,商品名,盐酸特拉唑嗪片
盐酸特拉唑嗪片说明书,1027,6,0,商品名,盐酸特拉唑嗪片
盐酸特拉唑嗪片会导致哪些副作用?,1028,6,0,商品名,盐酸特拉唑嗪片
盐酸特拉唑嗪片的不良反应是什么?,1029,6,0,商品名,盐酸特拉唑嗪片
盐酸特拉唑嗪片(马沙尼)有何副作用?,1030,6,0,商品名,盐酸特拉唑嗪片
盐酸特拉唑嗪片(马沙尼)有何副作用?,1030,10,8,商品名,马沙尼
甲钴胺胶囊有什么副作用,1031,4,0,商品名,甲钴胺胶囊
甲钴胺胶囊的药理作用?,1032,4,0,商品名,甲钴胺胶囊
服用甲钴胺胶囊有什么注意事项吗?,1033,6,2,商品名,甲钴胺胶囊
甲钴胺胶囊的药理作用是什么?,1034,4,0,商品名,甲钴胺胶囊
求丙酸倍氯米松粉末吸入剂药品说明书,1035,11,1,商品名,丙酸倍氯米松粉末吸入剂
地塞米松磷酸钠滴眼液地塞米松磷酸纳滴眼液有什么副作用<br?,1036,9,0,商品名,地塞米松磷酸钠滴眼液
地塞米松磷酸钠滴眼液地塞米松磷酸纳滴眼液有什么副作用<br?,1036,19,10,商品名,地塞米松磷酸纳滴眼液
地塞米松磷酸钠滴眼液的药理毒理是什么?,1037,9,0,商品名,地塞米松磷酸钠滴眼液
求吡拉西坦注射液药品说明书,1038,7,1,商品名,吡拉西坦注射液
阿米卡星洗剂不良反应是什么?,1039,5,0,商品名,阿米卡星洗剂
硫酸奎尼丁片说明书?,1040,5,0,商品名,硫酸奎尼丁片
硫酸奎尼丁片的不良反应?,1041,5,0,商品名,硫酸奎尼丁片
硫酸奎尼丁片用药要注意什么?,1042,5,0,商品名,硫酸奎尼丁片
硫酸奎尼丁片有哪些副作用?,1043,5,0,商品名,硫酸奎尼丁片
硫酸奎尼丁片的用法是怎样的?,1044,5,0,商品名,硫酸奎尼丁片
硫酸奎尼丁片药品对幼儿的不良反应?,1045,5,0,商品名,硫酸奎尼丁片
硫酸奎尼丁片药品对幼儿的不良反应?,1045,10,9,禁忌人群,幼儿
孕妇使用硫酸奎尼丁片要注意什么?,1046,9,4,商品名,硫酸奎尼丁片
孕妇使用硫酸奎尼丁片要注意什么?,1046,1,0,禁忌人群,孕妇
老年患者服用硫酸奎尼丁片的禁忌事项有什么?,1047,11,6,商品名,硫酸奎尼丁片
老年患者服用硫酸奎尼丁片的禁忌事项有什么?,1047,3,0,禁忌人群,老年患者
硫酸氨基葡萄糖胶囊副作用大吗?,1048,8,0,商品名,硫酸氨基葡萄糖胶囊
服用硫酸氨基葡萄糖胶囊有什么不良反应?,1049,10,2,商品名,硫酸氨基葡萄糖胶囊
服用右旋糖酐铁片有哪些不良反应?,1050,7,2,商品名,右旋糖酐铁片
右旋糖酐铁片会有什么副作用呢?,1051,5,0,商品名,右旋糖酐铁片
孕妇吃右旋糖酐铁片有什么不良反应?,1052,8,3,商品名,右旋糖酐铁片
孕妇吃右旋糖酐铁片有什么不良反应?,1052,1,0,禁忌人群,孕妇
孕妇吃右旋糖酐铁片出现不良反应怎么办孕妇吃右旋糖酐铁片出现不良反应怎么?,1053,8,3,商品名,右旋糖酐铁片
孕妇吃右旋糖酐铁片出现不良反应怎么办孕妇吃右旋糖酐铁片出现不良反应怎么?,1053,1,0,禁忌人群,孕妇
