sourcedata,id,endPosition,startPosition,type,word
甲氧氯普胺片通俗名叫啥,0,5,0,商品名,甲氧氯普胺片
九个月的小孩能吃甲氧氯普胺片吗?,1,13,8,商品名,甲氧氯普胺片
九个月的小孩能吃甲氧氯普胺片吗?,1,5,0,禁忌人群,九个月的小孩
甲氧氯普胺片可以和晕车药一起吃?,2,5,0,商品名,甲氧氯普胺片
甲氧氯普胺片可以和晕车药一起吃?,2,11,9,药物类别,晕车药
甲氧氯普胺片与潘立酮一起能服用?,3,5,0,商品名,甲氧氯普胺片
甲氧氯普胺片与潘立酮一起能服用?,3,9,7,商品名,潘立酮
服用甲氧氯普胺片需要注意什么呢?,4,7,2,商品名,甲氧氯普胺片
上海甲氧氯普胺片哪里有?,5,7,2,商品名,甲氧氯普胺片
月经期间能吃甲氧氯普胺片吗,6,11,6,商品名,甲氧氯普胺片
月经期间能吃甲氧氯普胺片吗,6,3,0,禁忌人群,月经期间
甲氧氯普胺片内含有哪些成分?,7,5,0,商品名,甲氧氯普胺片
甲氧氯普胺片有什么不良反应、注意事项和禁忌吗?,8,5,0,商品名,甲氧氯普胺片
服用甲氧氯普胺片有哪些不良反应呢?,9,7,2,商品名,甲氧氯普胺片
布洛芬缓释胶囊和甲氧氯普胺片和法莫替丁片一起吃有什么后?,10,6,0,商品名,布洛芬缓释胶囊
布洛芬缓释胶囊和甲氧氯普胺片和法莫替丁片一起吃有什么后?,10,13,8,商品名,甲氧氯普胺片
布洛芬缓释胶囊和甲氧氯普胺片和法莫替丁片一起吃有什么后?,10,19,15,商品名,法莫替丁片
患有阴道炎想知道苯扎溴铵溶液和苯扎氯铵溶液有什么不同?,11,4,2,疾病,阴道炎
患有阴道炎想知道苯扎溴铵溶液和苯扎氯铵溶液有什么不同?,11,13,8,商品名,苯扎溴铵溶液
患有阴道炎想知道苯扎溴铵溶液和苯扎氯铵溶液有什么不同?,11,20,15,商品名,苯扎氯铵溶液
苯扎溴铵溶液的副作用有哪些?,12,5,0,商品名,苯扎溴铵溶液
求苯扎溴铵溶液说明书?,13,6,1,商品名,苯扎溴铵溶液
苯扎溴铵溶液有什么用药禁忌?,14,5,0,商品名,苯扎溴铵溶液
苯扎溴铵溶液是什么?,15,5,0,商品名,苯扎溴铵溶液
使用苯扎溴铵溶液有哪些注意事项?,16,7,2,商品名,苯扎溴铵溶液
求苯扎溴铵溶液药品说明书,17,6,1,商品名,苯扎溴铵溶液
动物使用苯扎溴铵溶液要注意什么?,18,9,4,商品名,苯扎溴铵溶液
苯扎溴铵溶液要注意什么?,19,5,0,商品名,苯扎溴铵溶液
如何使用硝酸异山梨酯气雾剂?,20,12,4,商品名,硝酸异山梨酯气雾剂
求硝酸异山梨酯气雾剂药品说明书,21,9,1,商品名,硝酸异山梨酯气雾剂
注射用盐酸四环素注意事项有哪些?,22,7,0,商品名,注射用盐酸四环素
注射用盐酸四环素性状是什么?,23,7,0,商品名,注射用盐酸四环素
注射用盐酸四环素的药代动力学是什么?,24,7,0,商品名,注射用盐酸四环素
注射用盐酸四环素的药物相互作用是什么?,25,7,0,商品名,注射用盐酸四环素
注射用盐酸四环素用法与用量是多少?,26,7,0,商品名,注射用盐酸四环素
尼莫地平片如何换服尼莫地平缓释?,27,4,0,商品名,尼莫地平片
尼莫地平片与尼莫地平分散片的区别,28,4,0,商品名,尼莫地平片
尼莫地平片与尼莫地平分散片的区别,28,12,6,商品名,尼莫地平分散片
尼莫地平片和尼莫同片属于同种的吗?,29,4,0,商品名,尼莫地平片
尼莫地平片和尼莫同片属于同种的吗?,29,9,6,商品名,尼莫同片
尼莫地平片是特殊疾病用药吗,30,4,0,商品名,尼莫地平片
有没有尼莫地平片出售的吗?,31,7,3,商品名,尼莫地平片
尼莫地平片是降压药吗,32,4,0,商品名,尼莫地平片
尼莫地平片是降压药吗,32,8,6,药物类别,降压药
尼莫地平片有什么副作用?,33,4,0,商品名,尼莫地平片
尼莫地平片的用法用量?,34,4,0,商品名,尼莫地平片
尼莫地平片能长期服用?,35,4,0,商品名,尼莫地平片
尼莫地平片有激素吗?,36,4,0,商品名,尼莫地平片
尼莫地平片怎么个吃?,37,4,0,商品名,尼莫地平片
尼莫地平片可以长期服用吗,38,4,0,商品名,尼莫地平片
尼莫地平片保质期是多久,39,4,0,商品名,尼莫地平片
尼莫地平片是什么药?,40,4,0,商品名,尼莫地平片
尼莫地平片哪里?,41,4,0,商品名,尼莫地平片
尼莫地平片????能常常吃吗?,42,4,0,商品名,尼莫地平片
尼莫地平片有什么药理作用?,43,4,0,商品名,尼莫地平片
吃尼莫地平片困?,44,5,1,商品名,尼莫地平片
尼莫地平缓释胶囊能否替代尼莫地平片(尼膜同)?,45,7,0,商品名,尼莫地平缓释胶囊
尼莫地平缓释胶囊能否替代尼莫地平片(尼膜同)?,45,16,12,商品名,尼莫地平片
尼莫地平缓释胶囊能否替代尼莫地平片(尼膜同)?,45,20,18,商品名,尼膜同
尼莫地平片和地巴唑片能一起吃?,46,4,0,商品名,尼莫地平片
尼莫地平片和地巴唑片能一起吃?,46,9,6,商品名,地巴唑片
高血压用的药尼莫地平片和尼群地平片有什么不同?,47,2,0,疾病,高血压
高血压用的药尼莫地平片和尼群地平片有什么不同?,47,10,6,商品名,尼莫地平片
高血压用的药尼莫地平片和尼群地平片有什么不同?,47,16,12,商品名,尼群地平片
哺乳期血压高能吃尼莫地平片和硝苯地平片?,48,5,3,疾病,血压高
哺乳期血压高能吃尼莫地平片和硝苯地平片?,48,12,8,商品名,尼莫地平片
